name,description,task_value,task_effort,task_id
Backend Development App Development App Development.,User Experience Security User Experience Functionality. Security User Experience User Experience.,986,75,Task-01
App Development App Development User Interface Backend Development App Development.,User Experience Performance Functionality Functionality Security Functionality. Functionality User Experience Performance User Experience.,649,93,Task-02
Machine Learning Neural Networks Machine Learning Machine Learning.,Model Algorithm Feature Prediction. Algorithm Feature Algorithm Feature Prediction. Prediction Feature Prediction Prediction Algorithm.,934,77,Task-03
Resource Allocation Risk Management Project Planning Resource Allocation Project Planning Risk Management Risk Management Resource Allocation.,Timeline Timeline Team Timeline Objectives Team Timeline Objectives. Timeline Objectives Team Timeline Budget Team. Objectives Timeline Team Timeline Budget.,670,27,Task-04
Customer Onboarding Customer Onboarding Customer Support Customer Retention Customer Onboarding Customer Support Customer Onboarding Customer Onboarding.,Product Feedback Support Tickets Product Feedback Product Feedback Support Tickets Product Feedback Customer Satisfaction. Support Tickets Product Feedback Support Tickets Product Feedback.,488,33,Task-05
Marketing Campaign Sales Strategy Sales Strategy Marketing Campaign Customer Relationship Customer Relationship.,"Target Audience Target Audience Sales Funnel Marketing Channels.
Sales Funnel Target Audience Marketing Channels. Target Audience Customer Retention Target Audience.",103,52,Task-06
Resource Allocation Project Closure Risk Management Resource Allocation.,Objectives Team Team Objectives Budget Objectives. Timeline Team Objectives Budget Timeline Objectives.,609,92,Task-07
Project Closure Project Planning Risk Management Project Closure Risk Management Risk Management Project Planning.,"Timeline Budget Budget Budget Team. Timeline Objectives Team Objectives Team Team.
Timeline Objectives Team Timeline Team Team. Timeline Budget Objectives Objectives.",657,19,Task-08
Sales Strategy Sales Strategy Marketing Campaign Sales Strategy Marketing Campaign Market Analysis Customer Relationship.,Customer Retention Sales Funnel Target Audience.,677,95,Task-09
User Interface Backend Development Testing App Development App Development User Interface.,User Experience User Experience Security Functionality. Security User Experience Performance User Experience User Experience.,533,47,Task-10
Deep Learning Data Mining Neural Networks Data Mining Machine Learning.,Feature Prediction Prediction Model. Model Feature Algorithm Feature.,878,18,Task-11
Deep Learning Machine Learning Machine Learning Machine Learning Neural Networks Deep Learning.,Model Algorithm Feature Prediction Feature Prediction Model. Prediction Model Model. Prediction Feature Algorithm Algorithm Algorithm Model.,428,31,Task-12
Machine Learning Data Mining Data Mining Deep Learning.,Model Model Algorithm Model Prediction. Model Feature Prediction Model Prediction Algorithm Feature.,139,50,Task-13
Customer Retention Customer Support Customer Onboarding Customer Onboarding.,Customer Satisfaction Customer Journey Product Feedback Product Feedback Customer Journey Customer Satisfaction Customer Journey.,71,9,Task-14
Project Planning Project Planning Project Planning Resource Allocation Project Closure Project Planning Resource Allocation Resource Allocation.,"Team Team Budget Team Team. Team Objectives Team Objectives.
Team Objectives Objectives. Team Budget Timeline Objectives Budget. Timeline Timeline Objectives Timeline Budget.",383,83,Task-15
Testing Testing User Interface App Development Backend Development User Interface User Interface.,Security User Experience Performance Functionality Functionality. Functionality User Experience User Experience User Experience. Performance Performance User Experience.,855,52,Task-16
Customer Relationship Customer Relationship Marketing Campaign.,"Sales Funnel Target Audience Customer Retention Target Audience Sales Funnel.
Customer Retention Customer Retention Customer Retention Sales Funnel.",429,80,Task-17
Data Mining Neural Networks Deep Learning Deep Learning Machine Learning Neural Networks Neural Networks.,Algorithm Prediction Feature. Model Model Algorithm Feature.,875,18,Task-18
Market Analysis Market Analysis Sales Strategy Marketing Campaign Customer Relationship Market Analysis.,Customer Retention Target Audience Marketing Channels Customer Retention Customer Retention. Sales Funnel Customer Retention Sales Funnel Marketing Channels Marketing Channels.,365,52,Task-19
Market Research Competitor Analysis Customer Feedback Market Research Competitor Analysis Customer Feedback.,Roadmap Market Roadmap Strategy Market Roadmap Market Market. Market Market Roadmap Market Innovation Roadmap Market Innovation.,877,66,Task-20
Testing User Experience App Design App Design App Design User Experience User Experience Testing.,User Interface Performance Functionality. User Interface User Interface Security. Performance User Interface Functionality User Interface.,579,94,Task-21
Project Closure Project Closure Risk Management.,Objectives Budget Team Budget Team. Timeline Team Budget Team Budget Budget Team.,378,12,Task-22
Machine Learning Deep Learning Data Mining Neural Networks Machine Learning.,Feature Prediction Algorithm Prediction Model Feature. Model Feature Feature Algorithm Algorithm.,384,70,Task-23
Market Research Market Research Product Launch Competitor Analysis.,Roadmap Market Market Strategy Market Strategy Innovation. Innovation Market Roadmap Innovation Roadmap Market Strategy. Roadmap Market Market Strategy.,344,8,Task-24
Product Launch Competitor Analysis Customer Feedback Competitor Analysis Competitor Analysis Customer Feedback.,Strategy Roadmap Market Strategy Strategy Innovation Roadmap Innovation. Innovation Strategy Strategy Innovation. Strategy Innovation Strategy Innovation Innovation Strategy Roadmap.,616,47,Task-25
